"gene_id","gene_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_id","is_significant"
"ENSG00000169860.7","P2RY1",22.327325133347,1.11962343669045,0.420758155659425,2.66096668984525,0.0077916664977928,0.0240547675613552,"ENSG00000169860",TRUE
"ENSG00000214051.3","ENSG00000214051.3",3.6215864688233,3.74382955782192,1.40694831029106,2.66095742852658,0.00779188081363612,0.0240547675613552,"ENSG00000214051",TRUE
"ENSG00000132932.19","ATP8A2",7.63187404324263,1.99951999124487,0.751507020845175,2.66068038725191,0.00779829425844096,0.0240701916738503,"ENSG00000132932",TRUE
"ENSG00000242607.1","RPS3AP34",18.5164322721925,1.26939554516193,0.477118222438367,2.66054718823051,0.00780137946990017,0.0240753391326946,"ENSG00000242607",TRUE
"ENSG00000259473.1","LINC02205",2.28298476596912,4.21854291310027,1.58574504541681,2.66029077328218,0.00780732173928413,0.0240914884484015,"ENSG00000259473",TRUE
"ENSG00000188921.14","HACD4",118.901225992444,0.601481817666767,0.226123277502784,2.65997302139477,0.00781469108309646,0.0241116577519534,"ENSG00000188921",TRUE
"ENSG00000180712.5","LINC02363",10.1640172227488,1.72496855051788,0.648537316617984,2.65978303224447,0.0078191003130677,0.0241212605062468,"ENSG00000180712",TRUE
"ENSG00000273325.1","ENSG00000273325.1",3.53910642111926,3.75188272776041,1.41078429251572,2.65943046549663,0.00782728851729209,0.0241421353269207,"ENSG00000273325",TRUE
"ENSG00000124313.19","IQSEC2",934.080721851084,0.360427212854487,0.13552787068846,2.65943241802276,0.00782724314960504,0.0241421353269207,"ENSG00000124313",TRUE
"ENSG00000226963.1","ENSG00000226963.1",10.9650303272544,1.76289663782209,0.663022250702885,2.65888005410559,0.00784008693259081,0.024177219512142,"ENSG00000226963",TRUE
"ENSG00000008083.14","JARID2",2234.80774254736,0.330127839379174,0.124194180906588,2.65815867514338,0.00785688914852351,0.0242246356174137,"ENSG00000008083",TRUE
"ENSG00000173581.8","CCDC106",398.042020986677,0.455209268451003,0.171338130144986,2.65678905253493,0.00788887891216039,0.0243144396051415,"ENSG00000173581",TRUE
"ENSG00000231940.1","RPS7P3",20.4303441982634,1.20113679997708,0.452110877197975,2.65673059542674,0.00789024686529321,0.0243164494211831,"ENSG00000231940",TRUE
"ENSG00000201341.1","RNU6-421P",2.20257537693599,4.22013085760536,1.58852241396862,2.65663916385175,0.00789238687904012,0.0243208380211589,"ENSG00000201341",TRUE
